Product,Product URL,Product Price,Product Rating,No of review
Dybbuk Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office  ,https://amazon.in/Dybbuk-Lightweight-Backpacks-Stylish-College/dp/B0BCGWRTHT/ref=sr_1_126?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-126,₹449,2.9 out of 5 stars,7
Skybags Riddle 2 Blue 45 Cms Casual Backpack  ,https://amazon.in/Skybags-Riddle-Blue-Casual-Backpack/dp/B08Z298H44/ref=sr_1_127?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-127,"₹1,059",4.4 out of 5 stars,23
"DARSH Makeup Bag, Polyester Waterproof Multifunctional Extra Large Cosmetic Bag for Women, Household Grooming Kit, Travel Cosmetic Bag Pouch, Makeup Organizer - Black (Large cosmatic Bag)  ",https://amazon.in/DARSH-Polyester-Waterproof-Multifunctional-Household/dp/B09RK37QD4/ref=sr_1_128?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-128,₹499,3.7 out of 5 stars,58
"HP Lightweight 200 15.6-inch Laptop Backpack with Padded Shoulder Straps, Green  ",https://amazon.in/HP-Lightweight-200-Green-Backpack/dp/B08CY1XYFL/ref=sr_1_129?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-129,"₹1,646",4.3 out of 5 stars,189
Aristocrat Zeal 20L Unisex Blue Laptop Bags  ,https://amazon.in/Aristocrat-Zeal-Unisex-Blue-Laptop/dp/B0B5YJ479V/ref=sr_1_130?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-130,₹784,3.8 out of 5 stars,12
"House of Quirk Hanging Travel Toiletry Bag, Waterproof Dopp Kit for Shaving Makeup Accessories, Men Cosmetic Organizer with Large Capacity, for Gym, Camping - Black  ",https://amazon.in/House-Quirk-Hanging-Toiletry-Organizer/dp/B072MH8KBB/ref=sr_1_131?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-131,₹399,4.0 out of 5 stars,"1,832"
"NIVIA String Bag (Sky Blue), Polyester  ",https://amazon.in/Nivia-5177SB-Polyester-String-Blue/dp/B071XMLFTL/ref=sr_1_132?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-132,₹193,4.1 out of 5 stars,418
Caprese Women's Tote bag  ,https://amazon.in/Caprese-Womens-Tote-bag-Birch/dp/B09FT31R1X/ref=sr_1_134?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-134,₹879,4.1 out of 5 stars,280
"Fur Jaden Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook  ",https://amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGX84G/ref=sr_1_136?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-136,₹999,4.0 out of 5 stars,115
70L Travel Backpack Hiking Bag Adventure Camping Trekking Bag Rucksack -70L  ,https://amazon.in/Backpack-Adventure-Camping-Trekking-Rucksack/dp/B091SNKKB4/ref=sr_1_137?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-137,₹949,3.9 out of 5 stars,"1,232"
"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)  ",https://amazon.in/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621/ref=sr_1_138?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-138,₹938,3.9 out of 5 stars,293
"Arctic Hunter Mens Sling Bag,Mens Shoulder Bag,Crossbody Bag for Men,Chest Bag,Daypack,Include Shockproof Compartment for iPad,Suitable for College,Outdoor Travels and Business for Everyday Use  ",https://amazon.in/Shoulder-Crossbody-Shockproof-Compartment-k00063-Black/dp/B09HV9QYFB/ref=sr_1_139?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-139,"₹1,329",4.3 out of 5 stars,231
"Amazon Brand - Solimo Cricket Kit Bag, Blue  ",https://amazon.in/Amazon-Brand-Solimo-Cricket-Blue/dp/B08J8JX3N3/ref=sr_1_140?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-140,₹899,4.1 out of 5 stars,29
Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07)  ,https://amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_141?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-141,"₹2,239",3.9 out of 5 stars,333
"Storite Pack of 2 Heavy Duty Canvas Grocery Shopping Bags for Vegetables Fruits/Milk Bag with Reinforced Handles (41x21x31 cm, Grey)  ",https://amazon.in/Storite-Shopping-Vegetables-Reinforced-42x32x21/dp/B08R9NHRRJ/ref=sr_1_142?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-142,₹549,4.3 out of 5 stars,"2,041"
"diksharth Travel Toiletry Bag Cosmetic Bag with Hook for Travel, Makeup Organizer, Cosmetic Pouch, Household Grooming Kit, Makeup Bag ( Multicolor )  ",https://amazon.in/diksharth-Toiletry-Organizer-Household-Multicolor/dp/B0BJQLVF2B/ref=sr_1_143?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-143,₹299,1.0 out of 5 stars,2
"NISUN Stylish Nylon Small 7 Zipper Multi Pocket Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag With Adjustable Straps For Men Women (Black & Grey,21x27x10.5 cm)  ",https://amazon.in/NISUN-Zipper-Sling-Black-Grey/dp/B09BZNTFLX/ref=sr_1_144?keywords=bags&qid=1669055438&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-144,₹599,4.0 out of 5 stars,253
